course_prefix,catalog_name,subject_context
IBST,Institute Biosci & Tech,IBST — Institute Biosci and Technology — Institute Biosci & Tech
IBUS,International Business,IBUS — International Business
IDIS,Industrial Distribution,IDIS — Industrial Distribution
IMED,Internal Medicine,IMED — Internal Medicine
INST,Interdisciplinary Studies,INST — Interdisciplinary Studies
INTA,International Affairs,INTA — International Affairs
ISEN,Indust & Systems Engr,ISEN — Industrial and Systems Engineering — Indust & Systems Engr
ISTM,Mgmt Info Systems,ISTM — Management Information Systems — Mgmt Info Systems
ITAL,Italian,ITAL — Italian
ITDE,Interdisciplinary Engr,ITDE — Interdisciplinary Engineering — Interdisciplinary Engr
ITSV,Info Tech Service Mgmt,ITSV — Information Technology Service Management — Info Tech Service Mgmt
JAPN,Japanese,JAPN — Japanese
JOUR,Journalism,JOUR — Journalism
JWST,Jewish Studies,JWST — Jewish Studies
KINE,Kinesiology,KINE — Kinesiology
KNFB,Kinesiology Field Based,KNFB — Kinesiology Field Based
LAND,Landscape Architecture,LAND — Landscape Architecture
LAW,Law,LAW — Law
LDEV,Land Development,LDEV — Land Development
LDTC,Learning Design & Tech,LDTC — Learning Design and Technology — Learning Design & Tech
LING,Linguistics,LING — Linguistics
LMAS,Latino/Mex Amer Studies,LMAS — Latino/Mex Amer Studies
LTPS,Learn Tech & Perf Sys,LTPS — Learn Technology and Perf Sys — Learn Tech & Perf Sys
MARA,Maritime Administration,MARA — Maritime Administration
MARB,Marine Biology,MARB — Marine Biology
MARE,Marine Engr Technology,MARE — Marine Engineering Technology — Marine Engr Technology
MARR,Marine Engr Technology,MARR — Marine Engineering Technology — Marine Engr Technology
MARS,Marine Science,MARS — Marine Science
MART,Marine Transportation,MART — Marine Transportation
MASC,Integrated Math & Sci,MASC — Integrated Math and Science — Integrated Math & Sci
MASE,Maritime Systems Engr,MASE — Maritime Systems Engineering — Maritime Systems Engr
MAST,Maritime Studies,MAST — Maritime Studies
MATH,Mathematics,MATH — Mathematics
MCMD,Molecular Cell Medicine,MCMD — Molecular Cell Medicine
MEEN,Mechanical Engineering,MEEN — Mechanical Engineering
MEFB,Mid Grds Ed Field Based,MEFB — Mid Grds Ed Field Based
MEID,Medicine-Interdisci,MEID — Medicine-Interdisci
MEMA,Mechanics and Materials,MEMA — Mechanics and Materials
MEPS,Molecular & Env Plant Sci,MEPS — Molecular and Environmental Plant Science — Molecular & Env Plant Sci
MFCM,Family & Commu Medicine,MFCM — Family and Commu Medicine — Family & Commu Medicine
MGMT,Management,MGMT — Management
MHUM,Humanities In Medicine,MHUM — Humanities In Medicine
MICR,Microbiology,MICR — Microbiology
MKTG,Marketing,MKTG — Marketing
MLSC,Military Science,MLSC — Military Science
MMET,Mfg & Mech Engr Tech,MMET — Manufacturing and Mechanical Engineering Technology — Mfg & Mech Engr Tech
MODL,Modern Languages,MODL — Modern Languages
MPAT,Pathology & Lab Medicin,MPAT — Pathology and Lab Medicin — Pathology & Lab Medicin
MPED,Pediatrics,MPED — Pediatrics
MPHY,Medical Physiology,MPHY — Medical Physiology
MPIM,Microbial Pathogen Imm,MPIM — Microbial Pathogen Imm
MPSY,Psychiatry,MPSY — Psychiatry
MRAD,Radiology,MRAD — Radiology
MSCI,Medical Sciences,MSCI — Medical Sciences
MSEN,Materials Science & Engr,MSEN — Materials Science and Engineering — Materials Science & Engr
MSTC,Music Technology,MSTC — Music Technology
MTDE,Multidisciplinary Engr,MTDE — Multidisciplinary Engineering — Multidisciplinary Engr
MUSC,Music,MUSC — Music
MUST,Museum Studies,MUST — Museum Studies
MXET,Multidiscip Engr Tech,MXET — Multidiscip Engineering Technology — Multidiscip Engr Tech
NEXT,Neuro Exper Therapeutic,NEXT — Neuro Exper Therapeutic
NRPR,Nursing Practice,NRPR — Nursing Practice
NRSC,Neuroscience,NRSC — Neuroscience
NUEN,Nuclear Engineering,NUEN — Nuclear Engineering
NURS,Nursing,NURS — Nursing
NUTR,Nutrition,NUTR — Nutrition
NVSC,Naval Science,NVSC — Naval Science
OBGY,Obstetrics & Gynecology,OBGY — Obstetrics and Gynecology — Obstetrics & Gynecology
OBIO,Oral Biology,OBIO — Oral Biology
OCEN,Ocean Engineering,OCEN — Ocean Engineering
OCNG,Oceanography,OCNG — Oceanography
OMFP,Oral & Maxillofac Path,OMFP — Oral and Maxillofac Path — Oral & Maxillofac Path
OMFR,Oral & Maxillofac Radio,OMFR — Oral and Maxillofac Radio — Oral & Maxillofac Radio
OMFS,Oral & Maxillofac Surg,OMFS — Oral and Maxillofac Surg — Oral & Maxillofac Surg
ORTH,Orthodontics,ORTH — Orthodontics
PBSI,Psyc & Brain Sciences,PBSI — Psychology and Brain Sciences — Psyc & Brain Sciences
PEDD,Pediatric Dentistry,PEDD — Pediatric Dentistry
PERF,Performance Studies,PERF — Performance Studies
PERI,Peridontics,PERI — Peridontics
PETE,Petroleum Engineering,PETE — Petroleum Engineering
PHAR,Pharmacy,PHAR — Pharmacy
PHEB,Public Hlth Epide Biost,PHEB — Public Hlth Epide Biost
PHEO,Public Hlth Enviro Occu,PHEO — Public Hlth Enviro Occu
PHIL,Philosophy,PHIL — Philosophy
PHLT,Public Health,PHLT — Public Health
PHPM,Public Hlth Pol & Mgmt,PHPM — Public Hlth Pol and Management — Public Hlth Pol & Mgmt
PHSC,Pharmaceutical Sciences,PHSC — Pharmaceutical Sciences
PHYS,Physics,PHYS — Physics
PLAN,Urban Planning,PLAN — Urban Planning
PLPA,Plant Pathology,PLPA — Plant Pathology
POLS,Political Science,POLS — Political Science
PORT,Portuguese,PORT — Portuguese
POSC,Poultry Science,POSC — Poultry Science
PROS,Prosthodontics,PROS — Prosthodontics
PSAA,Public Service & Admin,PSAA — Public Service and Admin — Public Service & Admin
PVFA,Perf Vis Fine Arts,PVFA — Perf Vis Fine Arts
RDNG,Reading,RDNG — Reading
RELS,Religious Studies,RELS — Religious Studies
RPTS,"Rec, Park & Tourism Sci","RPTS — Rec, Park and Tourism Science — Rec, Park & Tourism Sci"
RUSS,Russian,RUSS — Russian
RWFM,Rang Wild & Fish Mgmt,RWFM — Rang Wild and Fish Management — Rang Wild & Fish Mgmt
SCMT,Supply Chain Mgmt,SCMT — Supply Chain Management — Supply Chain Mgmt
SCSC,Soil and Crop Sciences,SCSC — Soil and Crop Sciences
SEFB,Special Ed. Field Based,SEFB — Special Ed. Field Based
SENG,Safety Engineering,SENG — Safety Engineering
SOCI,Sociology,SOCI — Sociology
SOMS,Schl of Military Sciences,SOMS — Schl of Military Sciences
SOPH,School of Public Health,SOPH — School of Public Health
SPAN,Spanish,SPAN — Spanish
SPED,Special Education,SPED — Special Education
SPEN,Space Engineering,SPEN — Space Engineering
SPMT,Sport Management,SPMT — Sport Management
SPSY,School Psychology,SPSY — School Psychology
SSEN,Subsea Engineering,SSEN — Subsea Engineering
STAT,Statistics,STAT — Statistics
SURG,Surgery,SURG — Surgery
SYEN,Systems Engineering,SYEN — Systems Engineering
TAMU,TAMU Study Abroad/Consortium,TAMU — TAMU Study Abroad/Consortium
TCMG,Technology Management,TCMG — Technology Management
TCMT,Technical Management,TCMT — Technical Management
TEED,Teacher Education,TEED — Teacher Education
TEFB,Teacher Ed Field Based,TEFB — Teacher Ed Field Based
THEA,Theatre,THEA — Theatre
UGST,Undergraduate Studies,UGST — Undergraduate Studies
URPN,Urban & Reg Planning,URPN — Urban and Reg Planning — Urban & Reg Planning
URSC,Urban Science,URSC — Urban Science
VIBS,Vet Integrative Biosci,VIBS — Vet Integrative Biosci
VIST,Visual Studies,VIST — Visual Studies
VIZA,Visualization,VIZA — Visualization
VLCS,Vet Large Animal Clin Sc,VLCS — Vet Large Animal Clin Sc
VMID,Vet Medicine-Interdisc,VMID — Vet Medicine-Interdisc
VPAR,Veterinary Parasitology,VPAR — Veterinary Parasitology
VPAT,Veterinary Pathology,VPAT — Veterinary Pathology
VSCS,Vet Small Animal Clin Sc,VSCS — Vet Small Animal Clin Sc
VTMI,Veterinary Microbiology,VTMI — Veterinary Microbiology
VTPB,Veterinary Pathobiology,VTPB — Veterinary Pathobiology
VTPP,Vet Physiology & Pharm,VTPP — Vet Physiology and Pharm — Vet Physiology & Pharm
WFSC,Wildlife & Fisheries Sci,WFSC — Wildlife and Fisheries Science — Wildlife & Fisheries Sci
WGST,Women's & Gender Studies,WGST — Women's and Gender Studies — Women's & Gender Studies
WMHS,Water Mgmt & Hydrol Sci,WMHS — Water Management and Hydrol Science — Water Mgmt & Hydrol Sci
ZOOL,Zoology,ZOOL — Zoology
