term,subject,course_number,crn,title,restrictions
202631,PHAR,789,62876,SPTP: ADV. AMBULATORY CARE,"Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy | Must be enrolled in one of the following Classifications: Pharmacy, Second Year, Pharmacy, Third Year"
202631,PHAR,789,62877,SPTP: ADV. AMBULATORY CARE,"Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy | Must be enrolled in one of the following Classifications: Pharmacy, Second Year, Pharmacy, Third Year"
202631,PHAR,800,22225,DEAN'S HOUR,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,800,28222,DEAN'S HOUR,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,801,32421,FORUM/STDNTPORTFOLIOS/PD III,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,801,32422,FORUM/STDNTPORTFOLIOS/PD III,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,802,22227,CORE RECITATION (P3),Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,802,28224,CORE RECITATION (P3),Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,810,22221,IPT V MENTAL BEHAVIORAL DISORD,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,810,28225,IPT V MENTAL BEHAVIORAL DISORD,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,811,22222,"CRTCL CARE, GI, PULM, RHEUM,",Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,811,28502,"CRTCL CARE, GI, PULM, RHEUM,",Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,814,22223,IPT RECITATION/ ROUNDS III,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,814,28226,IPT RECITATION/ ROUNDS III,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,841,22217,TOXICOLOGY POISON MGMT,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,841,28227,TOXICOLOGY POISON MGMT,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,842,22219,PATIENT ASSESSMENT,Must be enrolled in one of the following Majors: Pharmacy
202631,PHAR,842,28228,PATIENT ASSESSMENT,Must be enrolled in one of the following Majors: Pharmacy
202631,PHAR,872,31881,SOCIAL-BEHAVASPECTS OF PTCARE,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,872,31882,SOCIAL-BEHAVASPECTS OF PTCARE,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,876,22498,APPE:ACUTE CARE GNRL MED,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,876,22512,APPE:ACUTE CARE GNRL MED,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,876,31883,APPE:ACUTE CARE GNRL MED,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,876,31884,APPE:ACUTE CARE GNRL MED,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,876,31885,APPE:ACUTE CARE GNRL MED,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,876,31886,APPE:ACUTE CARE GNRL MED,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,877,22499,APPE:  AMBULATORY CARE,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,877,22513,APPE:  AMBULATORY CARE,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,877,31888,APPE:  AMBULATORY CARE,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,877,31889,APPE:  AMBULATORY CARE,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,877,31890,APPE:  AMBULATORY CARE,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,877,59638,APPE:  AMBULATORY CARE,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,878,22500,APPE: COMMUNITY PRACTICE,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,878,31891,APPE: COMMUNITY PRACTICE,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,878,31892,APPE: COMMUNITY PRACTICE,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,878,31893,APPE: COMMUNITY PRACTICE,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
202631,PHAR,878,31894,APPE: COMMUNITY PRACTICE,Cannot be enrolled in one of the following Colleges: Rangel Coll of Pharmacy
