major,normalized_major,department,normalized_department,college,normalized_college,source_url
Marine Biology - BS,Marine Biology,,,Texas A&M University at Galveston,Texas A&M University at Galveston,https://catalog.tamu.edu/undergraduate/galveston/marine-sciences-maritime-studies/marine-biology/bs/
Marine Engineering Technology - BS,Marine Engineering Technology,,,Texas A&M University at Galveston,Texas A&M University at Galveston,https://catalog.tamu.edu/undergraduate/galveston/marine-sciences-maritime-studies/marine-engineering-technology/bs/
Marine Fisheries - BS,Marine Fisheries,,,Texas A&M University at Galveston,Texas A&M University at Galveston,https://catalog.tamu.edu/undergraduate/galveston/marine-sciences-maritime-studies/marine-biology/marine-fisheries-bs/
Marine Transportation - BS,Marine Transportation,,,Texas A&M University at Galveston,Texas A&M University at Galveston,https://catalog.tamu.edu/undergraduate/galveston/marine-sciences-maritime-studies/maritime-transportation/bs/
Maritime Business Administration - BS,Maritime Business Administration,,,Texas A&M University at Galveston,Texas A&M University at Galveston,https://catalog.tamu.edu/undergraduate/galveston/marine-sciences-maritime-studies/maritime-business-administration/bs/
Maritime Operations - BS,Maritime Operations,,,Texas A&M University at Galveston,Texas A&M University at Galveston,https://catalog.tamu.edu/undergraduate/galveston/marine-sciences-maritime-studies/maritime-transportation/maritime-operations-bs/
Maritime Studies - BA,Maritime Studies,,,Texas A&M University at Galveston,Texas A&M University at Galveston,https://catalog.tamu.edu/undergraduate/galveston/marine-sciences-maritime-studies/maritime-studies/ba/
"University Studies - BS, Oceans and One Health Concentration",University Studies,,,Texas A&M University at Galveston,Texas A&M University at Galveston,https://catalog.tamu.edu/undergraduate/galveston/marine-sciences-maritime-studies/university-studies/oceans-one-health-university-studies-bs/
Coastal Resilience and Environmental Science - BS,Coastal Resilience and Environmental Science,College of Marine Sciences and Maritime Studies,College of Marine Sciences and Maritime Studies,Texas A&M University at Galveston,Texas A&M University at Galveston,https://catalog.tamu.edu/undergraduate/galveston/marine-sciences-maritime-studies/marine-and-coastal-environmental-science/coastal-resilience-environmental-science-bs/
Marine Sciences - BS,Marine Sciences,College of Marine Sciences and Maritime Studies,College of Marine Sciences and Maritime Studies,Texas A&M University at Galveston,Texas A&M University at Galveston,https://catalog.tamu.edu/undergraduate/galveston/marine-sciences-maritime-studies/marine-and-coastal-environmental-science/marine-sciences-bs/
Division of Arts and Sciences,Division of Arts and Sciences,,,Texas A&M University at Qatar,Texas A&M University at Qatar,https://catalog.tamu.edu/undergraduate/qatar/division-arts-sciences/
General Information,General Information,,,Texas A&M University at Qatar,Texas A&M University at Qatar,https://catalog.tamu.edu/undergraduate/qatar/general-information/
"Honors, Undergraduate Research and National Fellowships","Honors, Undergraduate Research and National Fellowships",,,"Tuition, Fees and Other Financial Information","Tuition, Fees and Other Financial Information",https://catalog.tamu.edu/undergraduate/honors-undergraduate-research-national-fellowship/
International Opportunities for Students,International Opportunities for Students,,,"Tuition, Fees and Other Financial Information","Tuition, Fees and Other Financial Information",https://catalog.tamu.edu/undergraduate/international-opportunities/
Scholarships & Financial Aid,Scholarships & Financial Aid,,,"Tuition, Fees and Other Financial Information","Tuition, Fees and Other Financial Information",https://catalog.tamu.edu/undergraduate/tuition-fees-financial-information/financial-assistance-scholarships/
Transition Academic Programs,Transition Academic Programs,,,"Tuition, Fees and Other Financial Information","Tuition, Fees and Other Financial Information",https://catalog.tamu.edu/undergraduate/transition-academic-programs/
University Policies,University Policies,,,"Tuition, Fees and Other Financial Information","Tuition, Fees and Other Financial Information",https://catalog.tamu.edu/undergraduate/university-policies/
Biomedical Sciences - BS,Biomedical Sciences,,,College of Veterinary Medicine and Biomedical Sciences,Veterinary Medicine and Biomedical Sciences,https://catalog.tamu.edu/undergraduate/veterinary-medicine-biomedical-sciences/biomedical-sciences-bs/
"University Studies - BS, Biomedical Sciences Concentration",University Studies,University Studies,University Studies,College of Veterinary Medicine and Biomedical Sciences,Veterinary Medicine and Biomedical Sciences,https://catalog.tamu.edu/undergraduate/veterinary-medicine-biomedical-sciences/university-studies/biomedical-sciences-university-studies-bs/
Veterinary Integrative Biosciences,Veterinary Integrative Biosciences,University Studies,University Studies,College of Veterinary Medicine and Biomedical Sciences,Veterinary Medicine and Biomedical Sciences,https://catalog.tamu.edu/undergraduate/veterinary-medicine-biomedical-sciences/veterinary-integrative-biosciences/
Veterinary Pathobiology,Veterinary Pathobiology,University Studies,University Studies,College of Veterinary Medicine and Biomedical Sciences,Veterinary Medicine and Biomedical Sciences,https://catalog.tamu.edu/undergraduate/veterinary-medicine-biomedical-sciences/veterinary-pathobiology/
